parameter,factor,parameter value,Atomization Energy MAE (kcal/mol),Total Energy MAE (kcal/mol),Pairwise Distance MAE,Pairwise Distance Frobenius Norm
a1,0.8,0.416,447.16861045752887,8436.629131214302,0.40246443782486574,5.341198188051235
a1,0.9,0.468,465.94561553498727,8384.836193027624,0.36822044325866077,4.822833638528214
a1,1.0,0.52,450.54189722383666,8402.476356364294,0.38372028931124363,5.053569713682156
a1,1.1,0.572,467.4702379665057,8385.26943696351,0.37035684035289473,4.830669231357877
a1,1.2,0.624,456.34783815024616,8383.214394426808,0.38162363626937645,5.07169483664865
a2,0.8,4.0,438.730714866683,8427.218835833215,0.40623922810881463,5.4216857281011
a2,0.9,4.5,452.2930289158151,8414.527526161506,0.3957831820337643,5.250566681419767
a2,1.0,5.0,455.6662260697791,8423.110986689615,0.39671719650072423,5.162178284970582
a2,1.1,5.5,460.21917347876877,8404.795288994188,0.3905170339733729,5.120659907838038
a2,1.2,6.0,537.3916414144903,8326.816313819883,0.4016129321645661,5.3424405096133585
aesdmp3,0.8,2.4,463.5488663246348,8383.308743251544,0.38195608229753536,4.991053800926005
aesdmp3,0.9,2.7,459.14291973330495,8406.115275065138,0.3837318637763233,5.028532033480216
aesdmp3,1.0,3.0,463.0874038552306,8376.940995638653,0.3759589520975812,4.930985117807593
aesdmp3,1.1,3.3,457.8550143366895,8384.156785774518,0.38171997726997997,5.02780621156336
aesdmp3,1.2,3.6,454.09816279447153,8433.180246325552,0.3832250657309164,5.0668567381222855
aesdmp5,0.8,3.2,460.3116484871404,8385.934970233668,0.38729435223211084,5.083104129566887
aesdmp5,0.9,3.6,463.00951390183104,8376.87370624934,0.3760545091272317,4.95039449696702
aesdmp5,1.0,4.0,450.54189722383666,8402.476356364288,0.3839612770548183,5.056098205026447
aesdmp5,1.1,4.4,456.11331548383106,8417.920926455261,0.3856322682307966,5.065108199717188
aesdmp5,1.2,4.8,457.97796885647614,8384.274468995247,0.38332245541871957,5.039679787248629
aesexp,0.8,3.2,457.8068895200492,8386.210993808569,0.3859084724805869,5.049332332628831
aesexp,0.9,3.6,453.69241042051,8386.071546733281,0.3850270892093274,5.032051356036617
aesexp,1.0,4.0,450.5418972238439,8402.476356364294,0.383959952610633,5.056101660305668
aesexp,1.1,4.4,455.9405683605633,8422.514494870991,0.393122341731219,5.178737077906966
aesexp,1.2,4.8,455.5975634726525,8393.596487187557,0.37519316624786314,4.974145432512151
aesrmax,0.8,4.0,454.70291272971366,8402.936921563196,0.39214821299743324,5.1463942882541955
aesrmax,0.9,4.5,457.3490449545708,8437.728737275533,0.38254881397874835,4.9959260384247655
aesrmax,1.0,5.0,450.54189722383666,8402.476356364288,0.3839599526719985,5.0561016619937496
aesrmax,1.1,5.5,450.02532855928814,8414.537887347647,0.39674458807586505,5.157174765349585
aesrmax,1.2,6.0,458.7917918807224,8376.832486978363,0.3790960290552807,4.985286310296083
aesshift,0.8,0.96,530.2996303498178,8324.477764661688,0.40251468049077554,5.3699918517586385
aesshift,0.9,1.08,459.1389493778129,8406.094383702237,0.3925244687140393,5.112012150196299
aesshift,1.0,1.2,538.5799981240993,8298.320573946865,0.40198682249458645,5.340646703681452
aesshift,1.1,1.32,537.5975674559121,8331.924641275275,0.40926848271455973,5.3895459630350055
aesshift,1.2,1.44,445.3215896029953,8420.739364722232,0.40257234112935636,5.24383087983426
alphaj,0.8,1.6,492.12828321416396,8319.958885856628,0.23138326164207837,2.812953492102442
alphaj,0.9,1.8,496.66922536667585,8346.5353314899,0.2681942714653079,3.2629208047651614
alphaj,1.0,2.0,491.7427293855515,8440.303848074453,0.2538714515518634,3.054340140321835
alphaj,1.1,2.2,495.2160429343189,8271.32395236485,0.2427903196575362,2.919619664753739
alphaj,1.2,2.4,508.4791867523128,8394.098309257852,0.23669983423288285,2.8646552920541417
enscale,0.8,1.6,444.9224788201432,8402.730823954635,0.39085870718474,5.152957175160496
enscale,0.9,1.8,457.885614158541,8391.948268414362,0.3789037407871771,5.01293648826017
enscale,1.0,2.0,450.54189722383666,8402.476356364288,0.3839599408830675,5.056101275108448
enscale,1.1,2.2,455.51739027692986,8387.927693961597,0.3860400761855489,5.048709374128695
enscale,1.2,2.4,459.4881155424358,8401.681734186264,0.38710094494630376,5.052586556106641
gam3d1,0.8,0.2,537.0038905714351,8331.698072683115,0.4077135711456717,5.3943336107460915
gam3d1,0.9,0.225,542.5720407931537,8325.589035572351,0.40168012898966104,5.32712470549934
gam3d1,1.0,0.25,533.2990280943447,8332.825217202235,0.40912846916487927,5.405604819026993
gam3d1,1.1,0.275,536.8271560339682,8335.041843398387,0.4064297523756123,5.3918080420713626
gam3d1,1.2,0.3,534.1650364352992,8326.527200909633,0.4136325775786453,5.463795188771443
gam3d2,0.8,0.2,454.6136115099063,8402.844717831314,0.3868733987611185,5.092732534883417
gam3d2,0.9,0.225,450.54189722383666,8402.476356364288,0.38395994007974227,5.056101267656344
gam3d2,1.0,0.25,456.175542951483,8410.748128240186,0.3881249026635101,5.124450788259432
gam3d2,1.1,0.275,454.6136115099063,8402.844717831314,0.38682251050105804,5.092133057015795
gam3d2,1.2,0.3,449.2684593464532,8401.383588169727,0.38179860875541594,5.009169756598723
gam3p,0.8,0.4,446.2968620452287,8421.742680035191,0.40090543511079635,5.226294672950215
gam3p,0.9,0.45,452.36008462776454,8422.437853046926,0.3912514596408714,5.1423764205268965
gam3p,1.0,0.5,444.45936780497817,8423.799425546407,0.3954480632427282,5.195581265051177
gam3p,1.1,0.55,451.7890532769027,8408.909298796916,0.3675131392823079,4.860909646054847
gam3p,1.2,0.6,454.22447465814355,8406.74208476905,0.38409722463358803,5.083016209346182
gam3s,0.8,0.8,464.535966639207,8391.889062672415,0.37225884714102764,4.863560759646202
gam3s,0.9,0.9,455.52236497747936,8399.428447761367,0.3771376269481567,4.998705191557548
gam3s,1.0,1.0,533.2990280943516,8332.825217202235,0.4093079003397361,5.407662807007982
gam3s,1.1,1.1,459.2470840329059,8406.206098835723,0.39003156479586965,5.094157753124206
gam3s,1.2,1.2,546.7022967337066,8302.65471851665,0.3989089468848734,5.296865545583399
ipeashift,0.8,1.424552,465.7795328033811,8369.667011245094,0.37172363182783263,4.835182722711916
ipeashift,0.9,1.602621,454.6136115099063,8402.844717831322,0.3868719671804046,5.092733779174494
ipeashift,1.0,1.78069,458.51482217553166,8392.575127124253,0.3752583147344071,4.94126437929353
ipeashift,1.1,1.958759,450.54189722383666,8402.476356364294,0.38390964948246065,5.0555090778269
ipeashift,1.2,2.136828,457.8918811325701,8386.293226677728,0.38518105562305877,5.0331120547686785
kd,0.8,1.784,445.52456965719824,8420.993067158919,0.4034934472428169,5.312722175818562
kd,0.9,2.007,446.9816852358342,8430.467468232622,0.4053306416607242,5.306832648487784
kd,1.0,2.23,446.9297024671868,8430.409175429326,0.39368358774837203,5.148502545408786
kd,1.1,2.453,454.9954390398759,8405.709535926873,0.3938819320730858,5.130848794750476
kd,1.2,2.676,448.3937371981449,8445.5790445232,0.37872733547445847,5.011465253717275
kdiff,0.8,1.6,533.2990280943516,8332.82521720223,0.40926214022314295,5.407055712084413
kdiff,0.9,1.8,533.2990280943447,8332.82521720223,0.40922478616326885,5.406643968315103
kdiff,1.0,2.0,533.2990280943447,8332.82521720223,0.409269042222512,5.407215871092062
kdiff,1.1,2.2,533.2990280943516,8332.825217202235,0.40898612736278134,5.4040996893555855
kdiff,1.2,2.4,533.2990280943516,8332.82521720223,0.4089592800814513,5.403879647962783
kexp,0.8,1.2,213.9139140886474,7840.51990989366,0.5731368311391225,6.043071259066241
kexp,0.9,1.35,328.79633683062343,8228.692558550201,0.42717629969198545,5.2862475813305165
kexp,1.0,1.5,450.5418972238439,8402.476356364294,0.3839599416226475,5.056101282013729
kexp,1.1,1.65,596.7080991685217,8319.975121013818,0.4465421994903364,5.459100411677083
kexp,1.2,1.8,512.8783116696513,8505.86764045326,0.4559390518647877,5.278717478767964
kexplight,0.8,0.8,439.4581872712482,8431.833828138517,0.4009000003152826,5.325011026028425
kexplight,0.9,0.9,530.9010313405238,8317.823071782152,0.41241224725241443,5.4526712997144084
kexplight,1.0,1.0,533.2990280943447,8332.82521720223,0.40916555254943815,5.405945262854651
kexplight,1.1,1.1,451.8868098079307,8421.954154727797,0.3868533006294701,5.097537073993356
kexplight,1.2,1.2,541.6272881315355,8315.401835528062,0.4105272935562017,5.377109815123003
kp,0.8,1.784,216.39349698351796,8077.500224539091,0.27138249033107653,3.251777372897042
kp,0.9,2.007,310.6312572477936,8284.053756116247,0.34945095777990637,4.480777501360265
kp,1.0,2.23,497.6670060628539,8344.578520214836,0.23860554133219167,2.8529667027650243
kp,1.1,2.453,671.4268902413355,8513.502584721486,0.419771659960098,5.618987273369544
kp,1.2,2.676,785.8116986214432,8855.821467631682,0.32350788790510393,3.76679537180158
kpd,0.8,1.6,448.22134051212146,8375.640168396401,0.37961274611567797,4.997843000613787
kpd,0.9,1.8,434.84999659892515,8408.117027025904,0.4081977404542348,5.335223093294925
kpd,1.0,2.0,450.5418972238439,8402.476356364294,0.3839599535167131,5.056101672126233
kpd,1.1,2.2,461.46203575388733,8448.62028947045,0.38653840372998016,5.114730257775607
kpd,1.2,2.4,486.5639795076722,8440.327551136643,0.4024958029388586,5.358924693004188
ks,0.8,1.48,372.6292079262062,8417.370147003874,0.4847861193009495,6.331188477770465
ks,0.9,1.665,397.6177506684527,8402.38207209613,0.3855051425406518,5.130229126635407
ks,1.0,1.85,464.626127349485,8383.796471625257,0.37897232531019903,4.936781197520245
ks,1.1,2.035,535.9866957064191,8463.055491429506,0.3898912081524064,5.141450252613676
ks,1.2,2.22,766.3354788736565,8435.637764726294,0.3776169209401261,5.0131120770449025
ksd,0.8,1.6,551.2474766066152,8297.574305914084,0.42622895446118436,5.604683321870832
ksd,0.9,1.8,444.0019532317658,8406.656399057563,0.37896484353298565,5.035310673142248
ksd,1.0,2.0,456.5497268798544,8415.512980943033,0.3948030367000304,5.151831136596663
ksd,1.1,2.2,476.92977484692983,8435.883944887722,0.3964793823390379,5.225345240862194
ksd,1.2,2.4,507.0214339856554,8507.5338573887,0.4295899628492956,5.593553918392765
s8,0.8,2.16,457.10316018851046,8393.108131129105,0.38228459220808403,5.001740661064717
s8,0.9,2.43,452.4778525973681,8406.108109600682,0.3593152823915202,4.805214632130811
s8,1.0,2.7,448.80878380316545,8461.463562779523,0.3679709201525784,4.674231856034482
s8,1.1,2.97,548.2805002766806,8293.877078407897,0.39213192913987294,5.217758507746684
s8,1.2,3.24,489.51308223760964,8430.911638309155,0.28092594266530363,3.444698939518049
s9,0.8,4.0,525.7508751356798,8327.443535529894,0.4113001050636775,5.470677405883226
s9,0.9,4.5,527.537200915306,8341.987163719738,0.40485247348602865,5.409388426001519
s9,1.0,5.0,525.0361581871933,8333.645397474442,0.40807556348736873,5.431840669194239
s9,1.1,5.5,528.2852413422708,8335.806695910787,0.40592090645773665,5.415259984134011
s9,1.2,6.0,531.8280163144685,8314.60991449097,0.3964609540327214,5.3256219739985164
